VA3MW,va3mw.dxcluster.org:41112
WG9L,W9DA.AMPR.ORG
WR3D,WR3D.DXCLUSTER.NET:7000
WS7I,209.211.199.73
WU3V,WU3V.DYNIP.COM
XE2AU,XE2AU.ORG
YV5LIX,YV5LIX.ORG.VE:9000
ZL2AQY-10,ZL2AQY.ATH.CX:9000
GB7DXG,GB7DXG.SHACKNET.NU:7301
RK6EWX,217.106.86.202:7300
RK2FWA,212.44.71.130:8000
EA7URG-5,80.36.72.248:8001
KY4DX,ky4dx.no-ip.com
W0MU,w0mu.net
n4zr,24.126.38.27:7300
localport,127.0.0.1:7300
RBN,telnet.reversebeacon.net:7000
load test,24.236.135.46:7373
NC7J,dxc.nc7j.com:23
